frequency,raw
20.00,-2.25074
20.20,-2.23935
20.40,-2.22792
20.61,-2.21612
20.81,-2.20510
21.02,-2.19413
21.23,-2.18344
21.44,-2.17394
21.66,-2.16446
21.87,-2.15658
22.09,-2.14932
22.31,-2.14292
22.54,-2.13801
22.76,-2.13404
22.99,-2.13143
23.22,-2.13006
23.45,-2.12947
23.69,-2.13056
23.92,-2.13234
24.16,-2.13495
24.40,-2.13869
24.65,-2.14301
24.89,-2.14759
25.14,-2.15276
25.39,-2.15798
25.65,-2.16340
25.91,-2.16852
26.16,-2.17305
26.43,-2.17750
26.69,-2.18111
26.96,-2.18398
27.23,-2.18613
27.50,-2.18756
27.77,-2.18803
28.05,-2.18774
28.33,-2.18683
28.62,-2.18535
28.90,-2.18349
29.19,-2.18139
29.48,-2.17939
29.78,-2.17762
30.08,-2.17639
30.38,-2.17600
30.68,-2.17692
30.99,-2.17923
31.30,-2.18312
31.61,-2.18871
31.93,-2.19638
32.24,-2.20565
32.57,-2.21772
32.89,-2.23137
33.22,-2.24709
33.55,-2.26426
33.89,-2.28312
34.23,-2.30280
34.57,-2.32290
34.92,-2.34356
35.27,-2.36374
35.62,-2.38302
35.97,-2.40101
36.33,-2.41782
36.70,-2.43301
37.06,-2.44562
37.43,-2.45624
37.81,-2.46472
38.19,-2.47091
38.57,-2.47507
38.95,-2.47756
39.34,-2.47883
39.74,-2.47932
40.14,-2.47959
40.54,-2.48023
40.94,-2.48179
41.35,-2.48485
41.76,-2.48989
42.18,-2.49757
42.60,-2.50777
43.03,-2.52084
43.46,-2.53640
43.90,-2.55458
44.33,-2.57424
44.78,-2.59627
45.23,-2.61903
45.68,-2.64193
46.13,-2.66448
46.60,-2.68699
47.06,-2.70778
47.53,-2.72759
48.01,-2.74628
48.49,-2.76353
48.97,-2.77986
49.46,-2.79606
49.96,-2.81276
50.46,-2.83025
50.96,-2.84923
51.47,-2.87069
51.99,-2.89483
52.51,-2.92181
53.03,-2.95100
53.56,-2.98281
54.10,-3.01657
54.64,-3.05078
55.18,-3.08447
55.74,-3.11787
56.29,-3.14822
56.86,-3.17650
57.42,-3.20078
58.00,-3.22216
58.58,-3.24035
59.16,-3.25568
59.76,-3.26994
60.35,-3.28338
60.96,-3.29799
61.57,-3.31428
62.18,-3.33319
62.80,-3.35538
63.43,-3.38072
64.07,-3.40878
64.71,-3.43806
65.35,-3.46707
66.01,-3.49526
66.67,-3.52032
67.33,-3.54095
68.01,-3.55706
68.69,-3.56795
69.37,-3.57414
70.07,-3.57661
70.77,-3.57645
71.48,-3.57509
72.19,-3.57379
72.91,-3.57345
73.64,-3.57444
74.38,-3.57652
75.12,-3.57882
75.87,-3.58017
76.63,-3.57925
77.40,-3.57493
78.17,-3.56668
78.95,-3.55442
79.74,-3.53877
80.54,-3.52084
81.35,-3.50198
82.16,-3.48367
82.98,-3.46629
83.81,-3.44967
84.65,-3.43282
85.50,-3.41396
86.35,-3.39150
87.22,-3.36311
88.09,-3.32851
88.97,-3.28793
89.86,-3.24266
90.76,-3.19550
91.66,-3.15004
92.58,-3.10802
93.51,-3.07185
94.44,-3.04196
95.39,-3.01665
96.34,-2.99406
97.30,-2.97157
98.28,-2.94717
99.26,-2.92093
100.25,-2.89348
101.25,-2.86659
102.27,-2.84159
103.29,-2.81939
104.32,-2.79837
105.37,-2.77504
106.42,-2.74586
107.48,-2.70732
108.56,-2.65772
109.64,-2.59982
110.74,-2.53740
111.85,-2.47758
112.97,-2.42654
114.10,-2.38773
115.24,-2.36068
116.39,-2.34135
117.55,-2.32407
118.73,-2.30358
119.92,-2.27767
121.12,-2.24696
122.33,-2.21383
123.55,-2.18044
124.79,-2.14666
126.03,-2.11102
127.29,-2.07006
128.57,-2.02264
129.85,-1.97173
131.15,-1.92228
132.46,-1.88130
133.79,-1.85231
135.12,-1.83420
136.48,-1.82037
137.84,-1.80323
139.22,-1.77739
140.61,-1.74259
142.02,-1.70197
143.44,-1.65940
144.87,-1.61514
146.32,-1.56556
147.78,-1.50772
149.26,-1.44270
150.75,-1.37920
152.26,-1.32832
153.78,-1.29758
155.32,-1.28378
156.88,-1.27464
158.44,-1.25737
160.03,-1.22688
161.63,-1.19920
163.24,-1.16518
164.88,-1.14036
166.53,-1.12134
168.19,-1.09911
169.87,-1.06873
171.57,-1.03422
173.29,-1.00399
175.02,-0.98147
176.77,-0.96053
178.54,-0.93244
180.32,-0.89593
182.13,-0.85871
183.95,-0.83021
185.79,-0.81027
187.65,-0.79106
189.52,-0.76850
191.42,-0.74889
193.33,-0.74186
195.27,-0.74540
197.22,-0.74461
