frequency,raw
20.00,3.41702
20.20,3.42530
20.40,3.43249
20.61,3.43896
20.81,3.44401
21.02,3.44737
21.23,3.44989
21.44,3.44939
21.66,3.44785
21.87,3.44383
22.09,3.43773
22.31,3.42997
22.54,3.41876
22.76,3.40686
22.99,3.39203
23.22,3.37547
23.45,3.35784
23.69,3.33743
23.92,3.31718
24.16,3.29536
24.40,3.27291
24.65,3.24954
24.89,3.22716
25.14,3.20466
25.39,3.18291
25.65,3.16122
25.91,3.14152
26.16,3.12412
26.43,3.10696
26.69,3.09257
26.96,3.08015
27.23,3.06964
27.50,3.06100
27.77,3.05473
28.05,3.05014
28.33,3.04699
28.62,3.04504
28.90,3.04421
29.19,3.04389
29.48,3.04354
29.78,3.04272
30.08,3.04101
30.38,3.03784
30.68,3.03234
30.99,3.02421
31.30,3.01324
31.61,2.99923
31.93,2.98135
32.24,2.96074
32.57,2.93485
32.89,2.90627
33.22,2.87383
33.55,2.83878
33.89,2.80048
34.23,2.76056
34.57,2.71970
34.92,2.67735
35.27,2.63540
35.62,2.59450
35.97,2.55520
36.33,2.51695
36.70,2.48033
37.06,2.44750
37.43,2.41677
37.81,2.38831
38.19,2.36274
38.57,2.33971
38.95,2.31873
39.34,2.29878
39.74,2.27931
40.14,2.26015
40.54,2.24067
40.94,2.22029
41.35,2.19800
41.76,2.17389
42.18,2.14704
42.60,2.11822
43.03,2.08692
43.46,2.05422
43.90,2.01988
44.33,1.98614
44.78,1.95150
45.23,1.91826
45.68,1.88705
46.13,1.85836
46.60,1.83188
47.06,1.80913
47.53,1.78889
48.01,1.77105
48.49,1.75544
48.97,1.74085
49.46,1.72599
49.96,1.70940
50.46,1.69040
50.96,1.66771
51.47,1.63975
51.99,1.60639
52.51,1.56705
53.03,1.52307
53.56,1.47385
54.10,1.42049
54.64,1.36543
55.18,1.31019
55.74,1.25431
56.29,1.20220
56.86,1.15206
57.42,1.10720
58.00,1.06554
58.58,1.02804
59.16,0.99433
59.76,0.96176
60.35,0.93086
60.96,0.89859
61.57,0.86487
62.18,0.82872
62.80,0.78915
63.43,0.74628
64.07,0.70050
64.71,0.65346
65.35,0.60640
66.01,0.55889
66.67,0.51324
67.33,0.46998
68.01,0.42763
68.69,0.38681
69.37,0.34641
70.07,0.30391
70.77,0.25921
71.48,0.21072
72.19,0.15884
72.91,0.10338
73.64,0.04572
74.38,-0.01197
75.12,-0.06630
75.87,-0.11535
76.63,-0.15672
77.40,-0.18872
78.17,-0.21038
78.95,-0.22246
79.74,-0.22616
80.54,-0.22331
81.35,-0.21584
82.16,-0.20568
82.98,-0.19359
83.81,-0.17930
84.65,-0.16129
85.50,-0.13718
86.35,-0.10493
87.22,-0.06120
88.09,-0.00546
88.97,0.06242
89.86,0.14173
90.76,0.22945
91.66,0.32168
92.58,0.41756
93.51,0.51419
94.44,0.61015
95.39,0.70847
96.34,0.80872
97.30,0.91340
98.28,1.02349
99.26,1.13457
100.25,1.24330
101.25,1.34399
102.27,1.43220
103.29,1.50293
104.32,1.55694
105.37,1.59861
106.42,1.63312
107.48,1.66689
108.56,1.70429
109.64,1.74547
110.74,1.78900
111.85,1.83077
112.97,1.86774
114.10,1.89935
115.24,1.92790
116.39,1.95722
117.55,1.99016
118.73,2.02675
119.92,2.06225
121.12,2.08994
122.33,2.10411
123.55,2.10335
124.79,2.09308
126.03,2.08303
127.29,2.08319
128.57,2.09932
129.85,2.13022
131.15,2.16855
132.46,2.20459
133.79,2.23198
135.12,2.25010
136.48,2.26433
137.84,2.28033
139.22,2.30036
140.61,2.32111
142.02,2.33709
143.44,2.34590
144.87,2.35189
146.32,2.36400
147.78,2.38904
149.26,2.42552
150.75,2.46161
152.26,2.48210
153.78,2.47766
155.32,2.45154
156.88,2.41678
158.44,2.38621
160.03,2.36295
161.63,2.33289
163.24,2.31119
164.88,2.29011
166.53,2.27882
168.19,2.28310
169.87,2.29734
171.57,2.30601
173.29,2.29611
175.02,2.26915
176.77,2.23980
178.54,2.22159
180.32,2.21413
182.13,2.20501
183.95,2.18465
185.79,2.15691
187.65,2.13357
189.52,2.11928
191.42,2.10599
193.33,2.08529
195.27,2.06172
197.22,2.04962
199.19,2.05238
201.18,2.05272
203.19,2.02775
205.23,1.97383
207.28,1.91153
209.35,1.86056
211.44,1.82317
213.56,1.79323
215.69,1.77341
217.85,1.77008
220.03,1.77419
222.23,1.76213
224.45,1.72471
226.70,1.68205
228.96,1.65802
231.25,1.64927
233.57,1.63839
235.90,1.61485
238.26,1.61067
240.64,1.60841
243.05,1.58287
245.48,1.53249
247.93,1.48679
250.41,1.46413
252.92,1.45260
255.45,1.44301
258.00,1.44501
260.58,1.45813
263.19,1.46579
265.82,1.47047
268.48,1.48973
271.16,1.51010
273.87,1.50270
276.61,1.48202
279.38,1.48331
282.17,1.49712
284.99,1.50614
287.84,1.50886
290.72,1.50366
293.63,1.48367
296.57,1.46962
299.53,1.47843
302.53,1.48122
305.55,1.47518
308.61,1.45893
311.69,1.45053
314.81,1.41100
317.96,1.38677
321.14,1.36604
324.35,1.32921
327.59,1.27235
330.87,1.21024
334.18,1.14863
337.52,1.08146
340.90,1.04483
344.30,0.99684
347.75,0.93932
351.23,0.87469
354.74,0.81369
358.28,0.74904
361.87,0.73225
365.49,0.72452
369.14,0.72171
372.83,0.74143
376.56,0.73565
380.33,0.76725
384.13,0.78949
387.97,0.82175
391.85,0.88031
395.77,0.90018
399.73,0.93673
403.72,0.98048
407.76,1.00456
411.84,1.03150
415.96,1.03765
420.12,1.04511
424.32,1.05147
428.56,1.07534
432.85,1.12011
437.18,1.10714
441.55,1.09730
445.96,1.09951
450.42,1.13761
454.93,1.13795
459.48,1.12524
464.07,1.09410
468.71,1.06849
473.40,1.04080
478.13,0.99512
482.91,0.97239
487.74,0.94053
492.62,0.91305
497.55,0.88539
502.52,0.86621
507.55,0.81944
512.62,0.77740
517.75,0.73800
522.93,0.70937
528.16,0.67198
533.44,0.65210
538.77,0.59867
544.16,0.55492
549.60,0.52838
555.10,0.54320
560.65,0.51977
566.25,0.48118
571.92,0.46889
577.64,0.43409
583.41,0.44638
589.25,0.43436
595.14,0.42484
601.09,0.43891
607.10,0.46462
613.17,0.48311
619.30,0.51277
625.50,0.55980
631.75,0.60253
638.07,0.67204
644.45,0.72248
650.89,0.77146
657.40,0.81814
663.98,0.86049
670.62,0.90326
677.32,0.95732
684.10,1.00787
690.94,1.04884
697.85,1.04988
704.83,1.05760
711.87,1.07030
718.99,1.09200
726.18,1.10323
733.44,1.11706
740.78,1.10427
748.19,1.13226
755.67,1.15580
763.23,1.17968
770.86,1.19148
778.57,1.19203
786.35,1.20061
794.22,1.22781
802.16,1.25052
810.18,1.23226
818.28,1.21426
826.46,1.17263
834.73,1.15476
843.08,1.09984
851.51,1.02966
860.02,0.94275
868.62,0.88144
877.31,0.77357
886.08,0.69953
894.94,0.60319
903.89,0.50420
912.93,0.42769
922.06,0.36524
931.28,0.28510
940.59,0.20418
950.00,0.13026
959.50,0.07769
969.09,0.04154
978.78,0.00513
988.57,0.00639
998.46,-0.00408
1008.44,0.02234
1018.53,0.06213
1028.71,0.10995
1039.00,0.16343
1049.39,0.23094
1059.88,0.30526
1070.48,0.38872
1081.19,0.47769
1092.00,0.55914
1102.92,0.66337
1113.95,0.73355
1125.09,0.82194
1136.34,0.89489
1147.70,0.99771
1159.18,1.09983
1170.77,1.17646
1182.48,1.27965
1194.30,1.37159
1206.25,1.49534
1218.31,1.56835
1230.49,1.64272
1242.80,1.72255
1255.22,1.80429
1267.78,1.86251
1280.45,1.91687
1293.26,1.99530
1306.19,2.05177
1319.25,2.10852
1332.45,2.16763
1345.77,2.23690
1359.23,2.30283
1372.82,2.35913
1386.55,2.43274
1400.41,2.50627
1414.42,2.57912
1428.56,2.66122
1442.85,2.74101
1457.28,2.83939
1471.85,2.93678
1486.57,3.04322
1501.43,3.15995
1516.45,3.25591
1531.61,3.34964
1546.93,3.44162
1562.40,3.52439
1578.02,3.58736
1593.80,3.62875
1609.74,3.68744
1625.84,3.72344
1642.10,3.78544
1658.52,3.80384
1675.10,3.81064
1691.85,3.81921
1708.77,3.83293
1725.86,3.85924
1743.12,3.87466
1760.55,3.87843
1778.15,3.89148
1795.94,3.90095
1813.90,3.94629
1832.03,3.98871
1850.36,4.03432
1868.86,4.08519
1887.55,4.14444
1906.42,4.21190
1925.49,4.27686
1944.74,4.35912
1964.19,4.43047
1983.83,4.52465
2003.67,4.60206
2023.71,4.69180
2043.94,4.76450
2064.38,4.83783
2085.03,4.92398
2105.88,5.03505
2126.94,5.11829
2148.20,5.21224
2169.69,5.32204
2191.38,5.41102
2213.30,5.52349
2235.43,5.63139
2257.78,5.71716
2280.36,5.84059
2303.17,5.94962
2326.20,6.06665
2349.46,6.21096
2372.95,6.32818
2396.68,6.44313
2420.65,6.58114
2444.86,6.71979
2469.31,6.86575
2494.00,7.03823
2518.94,7.18645
2544.13,7.33364
2569.57,7.49185
2595.27,7.66165
2621.22,7.83256
2647.43,7.98386
2673.90,8.12454
2700.64,8.24651
2727.65,8.38291
2754.93,8.50682
2782.48,8.61463
2810.30,8.72774
2838.40,8.79148
2866.79,8.85785
2895.46,8.90531
2924.41,8.95545
2953.65,8.97103
2983.19,8.97884
3013.02,8.97751
3043.15,8.93905
3073.58,8.91456
3104.32,8.87876
3135.36,8.83275
3166.72,8.76750
3198.38,8.67455
3230.37,8.59744
3262.67,8.50936
3295.30,8.42517
3328.25,8.33692
3361.53,8.21329
3395.15,8.10351
3429.10,7.99024
3463.39,7.87224
3498.03,7.77023
3533.01,7.67290
3568.34,7.58113
3604.02,7.46850
3640.06,7.37702
3676.46,7.28827
3713.22,7.20451
3750.36,7.13869
3787.86,7.06357
3825.74,6.99096
3864.00,6.91559
3902.64,6.85399
3941.66,6.80429
3981.08,6.78223
4020.89,6.74976
4061.10,6.72123
4101.71,6.68333
4142.73,6.68067
4184.15,6.66521
4226.00,6.67602
4268.26,6.68894
4310.94,6.70530
4354.05,6.74107
4397.59,6.77705
4441.56,6.82341
4485.98,6.88054
4530.84,6.93534
4576.15,7.02331
4621.91,7.10109
4668.13,7.19182
4714.81,7.29826
4761.96,7.41418
4809.58,7.55768
4857.67,7.69793
4906.25,7.85542
4955.31,8.02892
5004.87,8.22439
5054.91,8.45237
5105.46,8.66306
5156.52,8.90389
5208.08,9.16189
5260.16,9.42781
5312.77,9.69478
5365.89,9.93425
5419.55,10.16627
5473.75,10.39067
5528.49,10.56722
5583.77,10.70053
5639.61,10.77346
5696.00,10.79574
5752.96,10.73843
5810.49,10.59670
5868.60,10.37489
5927.28,10.09852
5986.56,9.77817
6046.42,9.38974
6106.89,8.95619
6167.96,8.53822
6229.64,8.10650
6291.93,7.69966
6354.85,7.32928
6418.40,6.99235
6482.58,6.67810
6547.41,6.42752
6612.88,6.20549
6679.01,6.02410
6745.80,5.85317
6813.26,5.69954
6881.39,5.55999
6950.21,5.44424
7019.71,5.31907
7089.91,5.18419
7160.81,5.02903
7232.41,4.83446
7304.74,4.62589
7377.79,4.38746
7451.56,4.13242
7526.08,3.86386
7601.34,3.59381
7677.35,3.33205
7754.13,3.05823
7831.67,2.79303
7909.98,2.53793
7989.08,2.29743
8068.98,2.05435
8149.67,1.82541
8231.16,1.61605
8313.47,1.42191
8396.61,1.24015
8480.57,1.06956
8565.38,0.87908
8651.03,0.69148
8737.54,0.50581
8824.92,0.32203
8913.17,0.12552
9002.30,-0.05915
9092.32,-0.26962
9183.25,-0.48106
9275.08,-0.70701
9367.83,-0.93721
9461.51,-1.16568
9556.12,-1.41202
9651.68,-1.67842
9748.20,-1.94761
9845.68,-2.21758
9944.14,-2.47121
10043.58,-2.72929
10144.02,-2.96047
10245.46,-3.18282
10347.91,-3.38516
10451.39,-3.58609
10555.91,-3.78418
10661.46,-3.97847
10768.08,-4.17919
10875.76,-4.38561
10984.52,-4.57525
11094.36,-4.77026
11205.31,-4.96737
11317.36,-5.17194
11430.53,-5.37272
11544.84,-5.57342
11660.29,-5.76675
11776.89,-5.95965
11894.66,-6.12108
12013.60,-6.29256
12133.74,-6.44947
12255.08,-6.61516
12377.63,-6.76721
12501.41,-6.91413
12626.42,-7.07435
12752.68,-7.21656
12880.21,-7.36923
13009.01,-7.52276
13139.10,-7.67133
13270.49,-7.80609
13403.20,-7.92854
13537.23,-8.06176
13672.60,-8.19071
13809.33,-8.30460
13947.42,-8.41973
14086.90,-8.54039
14227.77,-8.63827
14370.04,-8.73828
14513.74,-8.83899
14658.88,-8.93660
14805.47,-9.03429
14953.52,-9.12337
15103.06,-9.24487
15254.09,-9.39142
15406.63,-9.53017
15560.70,-9.66762
15716.30,-9.80420
15873.47,-9.93560
16032.20,-10.07719
16192.52,-10.30711
16354.45,-10.51269
16517.99,-10.73077
16683.17,-10.95180
16850.01,-11.15301
17018.51,-11.37517
17188.69,-11.68490
17360.58,-12.00728
17534.18,-12.32087
17709.53,-12.62011
17886.62,-12.93646
18065.49,-13.29068
18246.14,-13.70299
18428.60,-14.13183
18612.89,-14.54132
18799.02,-14.96888
18987.01,-15.37356
19176.88,-15.87461
19368.65,-16.37761
19562.33,-16.86540
19757.96,-17.34747
19955.54,-17.85001
