frequency,raw
20.00,-3.80507
20.20,-3.79304
20.40,-3.78091
20.61,-3.76828
20.81,-3.75635
21.02,-3.74417
21.23,-3.73216
21.44,-3.72088
21.66,-3.70935
21.87,-3.69908
22.09,-3.68894
22.31,-3.67934
22.54,-3.67040
22.76,-3.66230
22.99,-3.65476
23.22,-3.64796
23.45,-3.64161
23.69,-3.63594
23.92,-3.63088
24.16,-3.62598
24.40,-3.62155
24.65,-3.61704
24.89,-3.61282
25.14,-3.60828
25.39,-3.60351
25.65,-3.59826
25.91,-3.59227
26.16,-3.58588
26.43,-3.57828
26.69,-3.57001
26.96,-3.56023
27.23,-3.54950
27.50,-3.53782
27.77,-3.52485
28.05,-3.51030
28.33,-3.49484
28.62,-3.47796
28.90,-3.46087
29.19,-3.44253
29.48,-3.42391
29.78,-3.40455
30.08,-3.38531
30.38,-3.36649
30.68,-3.34853
30.99,-3.33101
31.30,-3.31479
31.61,-3.30007
31.93,-3.28666
32.24,-3.27549
32.57,-3.26596
32.89,-3.25898
33.22,-3.25389
33.55,-3.25087
33.89,-3.24976
34.23,-3.25044
34.57,-3.25266
34.92,-3.25623
35.27,-3.26075
35.62,-3.26588
35.97,-3.27130
36.33,-3.27685
36.70,-3.28225
37.06,-3.28702
37.43,-3.29127
37.81,-3.29491
38.19,-3.29785
38.57,-3.30023
38.95,-3.30225
39.34,-3.30424
39.74,-3.30655
40.14,-3.30952
40.54,-3.31356
40.94,-3.31903
41.35,-3.32646
41.76,-3.33605
42.18,-3.34842
42.60,-3.36323
43.03,-3.38083
43.46,-3.40066
43.90,-3.42291
44.33,-3.44620
44.78,-3.47166
45.23,-3.49752
45.68,-3.52322
46.13,-3.54826
46.60,-3.57304
47.06,-3.59573
47.53,-3.61716
48.01,-3.63710
48.49,-3.65511
48.97,-3.67172
49.46,-3.68763
49.96,-3.70330
50.46,-3.71912
50.96,-3.73574
51.47,-3.75412
51.99,-3.77461
52.51,-3.79750
53.03,-3.82244
53.56,-3.84996
54.10,-3.87969
54.64,-3.91044
55.18,-3.94150
55.74,-3.97319
56.29,-4.00299
56.86,-4.03185
57.42,-4.05777
58.00,-4.08177
58.58,-4.10317
59.16,-4.12199
59.76,-4.13967
60.35,-4.15583
60.96,-4.17214
61.57,-4.18870
62.18,-4.20608
62.80,-4.22480
63.43,-4.24474
64.07,-4.26551
64.71,-4.28596
65.35,-4.30511
66.01,-4.32246
66.67,-4.33643
67.33,-4.34608
68.01,-4.35129
68.69,-4.35184
69.37,-4.34825
70.07,-4.34117
70.77,-4.33183
71.48,-4.32126
72.19,-4.31065
72.91,-4.30054
73.64,-4.29114
74.38,-4.28207
75.12,-4.27259
75.87,-4.26139
76.63,-4.24717
77.40,-4.22884
78.17,-4.20613
78.95,-4.17883
79.74,-4.14764
80.54,-4.11381
81.35,-4.07892
82.16,-4.04496
82.98,-4.01249
83.81,-3.98177
84.65,-3.95221
85.50,-3.92232
86.35,-3.89057
87.22,-3.85428
88.09,-3.81286
88.97,-3.76572
89.86,-3.71329
90.76,-3.65752
91.66,-3.60127
92.58,-3.54548
93.51,-3.49237
94.44,-3.44267
95.39,-3.39440
96.34,-3.34661
97.30,-3.29667
98.28,-3.24259
99.26,-3.18531
100.25,-3.12557
101.25,-3.06597
102.27,-3.00873
103.29,-2.95698
104.32,-2.91060
105.37,-2.86735
106.42,-2.82484
107.48,-2.77917
108.56,-2.72738
109.64,-2.67009
110.74,-2.60816
111.85,-2.54560
112.97,-2.48591
114.10,-2.43097
115.24,-2.38010
116.39,-2.33050
117.55,-2.27873
118.73,-2.22206
119.92,-2.16161
121.12,-2.10077
122.33,-2.04412
123.55,-1.99524
124.79,-1.95368
126.03,-1.91663
127.29,-1.87791
128.57,-1.83295
129.85,-1.78127
131.15,-1.72525
132.46,-1.67049
133.79,-1.62079
135.12,-1.57725
136.48,-1.53537
137.84,-1.49128
139.22,-1.44222
140.61,-1.39123
142.02,-1.34456
143.44,-1.30858
144.87,-1.28433
146.32,-1.26679
147.78,-1.24853
149.26,-1.22437
150.75,-1.19523
152.26,-1.16589
153.78,-1.14039
155.32,-1.11674
156.88,-1.08782
158.44,-1.04801
160.03,-0.99793
161.63,-0.95833
163.24,-0.92196
164.88,-0.90474
166.53,-0.90232
168.19,-0.90406
169.87,-0.90341
171.57,-0.90232
173.29,-0.90671
175.02,-0.91738
176.77,-0.92647
178.54,-0.92380
180.32,-0.90647
182.13,-0.88069
183.95,-0.85497
185.79,-0.83020
187.65,-0.80084
189.52,-0.76488
191.42,-0.72937
193.33,-0.70480
195.27,-0.69074
197.22,-0.67468
199.19,-0.64609
201.18,-0.60973
203.19,-0.58048
205.23,-0.56440
207.28,-0.55152
209.35,-0.53092
