frequency,raw
20.00,-0.93543
20.20,-0.91448
20.40,-0.89320
20.61,-0.87091
20.81,-0.84972
21.02,-0.82789
21.23,-0.80624
21.44,-0.78561
21.66,-0.76442
21.87,-0.74528
22.09,-0.72619
22.31,-0.70793
22.54,-0.69064
22.76,-0.67484
22.99,-0.65990
23.22,-0.64626
23.45,-0.63343
23.69,-0.62183
23.92,-0.61149
24.16,-0.60148
24.40,-0.59262
24.65,-0.58381
24.89,-0.57576
25.14,-0.56767
25.39,-0.55951
25.65,-0.55088
25.91,-0.54164
26.16,-0.53210
26.43,-0.52105
26.69,-0.50932
26.96,-0.49570
27.23,-0.48091
27.50,-0.46491
27.77,-0.44727
28.05,-0.42752
28.33,-0.40657
28.62,-0.38370
28.90,-0.36054
29.19,-0.33569
29.48,-0.31044
29.78,-0.28418
30.08,-0.25808
30.38,-0.23255
30.68,-0.20822
30.99,-0.18452
31.30,-0.16262
31.61,-0.14282
31.93,-0.12485
32.24,-0.10997
32.57,-0.09738
32.89,-0.08825
33.22,-0.08166
33.55,-0.07779
33.89,-0.07635
34.23,-0.07712
34.57,-0.07963
34.92,-0.08353
35.27,-0.08818
35.62,-0.09302
35.97,-0.09752
36.33,-0.10129
36.70,-0.10379
37.06,-0.10457
37.43,-0.10343
37.81,-0.10012
38.19,-0.09472
38.57,-0.08742
38.95,-0.07855
39.34,-0.06828
39.74,-0.05711
40.14,-0.04597
40.54,-0.03554
40.94,-0.02649
41.35,-0.01926
41.76,-0.01473
42.18,-0.01349
42.60,-0.01565
43.03,-0.02140
43.46,-0.03050
43.90,-0.04288
44.33,-0.05753
44.78,-0.07482
45.23,-0.09306
45.68,-0.11145
46.13,-0.12927
46.60,-0.14633
47.06,-0.16113
47.53,-0.17408
48.01,-0.18489
48.49,-0.19334
48.97,-0.20019
49.46,-0.20615
49.96,-0.21205
50.46,-0.21877
50.96,-0.22733
51.47,-0.23894
51.99,-0.25400
52.51,-0.27338
53.03,-0.29636
53.56,-0.32341
54.10,-0.35382
54.64,-0.38595
55.18,-0.41857
55.74,-0.45149
56.29,-0.48162
56.86,-0.50951
57.42,-0.53292
58.00,-0.55261
58.58,-0.56816
59.16,-0.57972
59.76,-0.58907
60.35,-0.59670
60.96,-0.60450
61.57,-0.61340
62.18,-0.62451
62.80,-0.63851
63.43,-0.65537
64.07,-0.67462
64.71,-0.69482
65.35,-0.71437
66.01,-0.73228
66.67,-0.74643
67.33,-0.75549
68.01,-0.75916
68.69,-0.75737
69.37,-0.75102
70.07,-0.74125
70.77,-0.73007
71.48,-0.71921
72.19,-0.71042
72.91,-0.70454
73.64,-0.70174
74.38,-0.70123
75.12,-0.70133
75.87,-0.69990
76.63,-0.69467
77.40,-0.68374
78.17,-0.66625
78.95,-0.64202
79.74,-0.61202
80.54,-0.57812
81.35,-0.54269
82.16,-0.50853
82.98,-0.47668
83.81,-0.44754
84.65,-0.42023
85.50,-0.39257
86.35,-0.36228
87.22,-0.32602
88.09,-0.28296
88.97,-0.23285
89.86,-0.17697
90.76,-0.11856
91.66,-0.06193
92.58,-0.00911
93.51,0.03712
94.44,0.07662
95.39,0.11223
96.34,0.14685
97.30,0.18457
98.28,0.22842
99.26,0.27803
100.25,0.33235
101.25,0.38790
102.27,0.44166
103.29,0.49017
104.32,0.53383
105.37,0.57566
106.42,0.61897
107.48,0.66790
108.56,0.72463
109.64,0.78639
110.74,0.84938
111.85,0.90653
112.97,0.95249
114.10,0.98556
115.24,1.00866
116.39,1.02816
117.55,1.05105
118.73,1.08235
119.92,1.12199
121.12,1.16609
122.33,1.20918
123.55,1.24723
124.79,1.28071
126.03,1.31278
127.29,1.34868
128.57,1.39011
129.85,1.43258
131.15,1.46817
132.46,1.48724
133.79,1.48608
135.12,1.46931
136.48,1.44802
137.84,1.43561
139.22,1.43990
140.61,1.46173
142.02,1.49641
143.44,1.53824
144.87,1.58594
146.32,1.64309
147.78,1.71248
149.26,1.79201
