frequency,raw
20.00,-0.70921
20.20,-0.69646
20.40,-0.68405
20.61,-0.67154
20.81,-0.66014
21.02,-0.64922
21.23,-0.63875
21.44,-0.63007
21.66,-0.62161
21.87,-0.61515
22.09,-0.60965
22.31,-0.60526
22.54,-0.60286
22.76,-0.60144
22.99,-0.60175
23.22,-0.60345
23.45,-0.60603
23.69,-0.61052
23.92,-0.61555
24.16,-0.62153
24.40,-0.62850
24.65,-0.63605
24.89,-0.64358
25.14,-0.65148
25.39,-0.65918
25.65,-0.66692
25.91,-0.67386
26.16,-0.67980
26.43,-0.68543
26.69,-0.68975
26.96,-0.69289
27.23,-0.69498
27.50,-0.69604
27.77,-0.69577
28.05,-0.69443
28.33,-0.69229
28.62,-0.68938
28.90,-0.68606
29.19,-0.68246
29.48,-0.67907
29.78,-0.67606
30.08,-0.67386
30.38,-0.67288
30.68,-0.67376
30.99,-0.67658
31.30,-0.68160
31.61,-0.68900
31.93,-0.69928
32.24,-0.71180
32.57,-0.72824
32.89,-0.74696
33.22,-0.76867
33.55,-0.79257
33.89,-0.81910
34.23,-0.84714
34.57,-0.87622
34.92,-0.90673
35.27,-0.93732
35.62,-0.96753
35.97,-0.99692
36.33,-1.02596
36.70,-1.05426
37.06,-1.08014
37.43,-1.10498
37.81,-1.12871
38.19,-1.15086
38.57,-1.17173
38.95,-1.19172
39.34,-1.21181
39.74,-1.23253
40.14,-1.25393
40.54,-1.27655
40.94,-1.30087
41.35,-1.32795
41.76,-1.35756
42.18,-1.39078
42.60,-1.42666
43.03,-1.46593
43.46,-1.50736
43.90,-1.55148
44.33,-1.59573
44.78,-1.64247
45.23,-1.68887
45.68,-1.73431
46.13,-1.77825
46.60,-1.82178
47.06,-1.86205
47.53,-1.90080
48.01,-1.93790
48.49,-1.97272
48.97,-2.00605
49.46,-2.03912
49.96,-2.07261
50.46,-2.10663
50.96,-2.14192
51.47,-2.17982
51.99,-2.22053
52.51,-2.26384
53.03,-2.30912
53.56,-2.35702
54.10,-2.40683
54.64,-2.45674
55.18,-2.50579
55.74,-2.55479
56.29,-2.60019
56.86,-2.64385
57.42,-2.68306
58.00,-2.71977
58.58,-2.75312
59.16,-2.78338
59.76,-2.81271
60.35,-2.84041
60.96,-2.86891
61.57,-2.89803
62.18,-2.92832
62.80,-2.96041
63.43,-2.99402
64.07,-3.02853
64.71,-3.06232
65.35,-3.09428
66.01,-3.12421
66.67,-3.15014
67.33,-3.17126
68.01,-3.18807
68.69,-3.20032
69.37,-3.20891
70.07,-3.21516
70.77,-3.22019
71.48,-3.22539
72.19,-3.23167
72.91,-3.23958
73.64,-3.24898
74.38,-3.25910
75.12,-3.26848
75.87,-3.27572
76.63,-3.27933
77.40,-3.27818
78.17,-3.27190
78.95,-3.26076
79.74,-3.24576
80.54,-3.22840
81.35,-3.21043
82.16,-3.19360
82.98,-3.17850
83.81,-3.16508
84.65,-3.15241
85.50,-3.13877
86.35,-3.12246
87.22,-3.10134
88.09,-3.07495
88.97,-3.04347
89.86,-3.00802
90.76,-2.97095
91.66,-2.93510
92.58,-2.90161
93.51,-2.87188
94.44,-2.84553
95.39,-2.82018
96.34,-2.79380
97.30,-2.76356
98.28,-2.72774
99.26,-2.68717
100.25,-2.64304
101.25,-2.59818
102.27,-2.55486
103.29,-2.51565
104.32,-2.48016
105.37,-2.44612
106.42,-2.41124
107.48,-2.37254
108.56,-2.32842
109.64,-2.28071
110.74,-2.23160
111.85,-2.18548
112.97,-2.14540
114.10,-2.11205
115.24,-2.08325
116.39,-2.05486
117.55,-2.02267
118.73,-1.98384
119.92,-1.93939
121.12,-1.89255
122.33,-1.84730
123.55,-1.80619
124.79,-1.76816
126.03,-1.73039
127.29,-1.68802
128.57,-1.63890
129.85,-1.58549
131.15,-1.53234
132.46,-1.48594
133.79,-1.44908
135.12,-1.42026
136.48,-1.39264
137.84,-1.36003
139.22,-1.31883
140.61,-1.27141
142.02,-1.22329
143.44,-1.17984
144.87,-1.14139
146.32,-1.10333
147.78,-1.06068
149.26,-1.01211
150.75,-0.96314
152.26,-0.92180
153.78,-0.89334
155.32,-0.87456
156.88,-0.85587
158.44,-0.82874
160.03,-0.79120
161.63,-0.76013
163.24,-0.72394
164.88,-0.69483
166.53,-0.66821
168.19,-0.63777
169.87,-0.60369
171.57,-0.57419
173.29,-0.55733
175.02,-0.55179
176.77,-0.54599
178.54,-0.52877
180.32,-0.50018
182.13,-0.47046
183.95,-0.44975
185.79,-0.43658
187.65,-0.42174
189.52,-0.40145
191.42,-0.38340
193.33,-0.37823
195.27,-0.38460
197.22,-0.38870
199.19,-0.38052
201.18,-0.36530
203.19,-0.35565
205.23,-0.35326
207.28,-0.34599
209.35,-0.32573
211.44,-0.30204
213.56,-0.28954
215.69,-0.28679
217.85,-0.27719
220.03,-0.25365
222.23,-0.22836
224.45,-0.21172
226.70,-0.19409
228.96,-0.16300
231.25,-0.12895
233.57,-0.11526
235.90,-0.13331
238.26,-0.14127
240.64,-0.13987
243.05,-0.14192
245.48,-0.15073
247.93,-0.14980
250.41,-0.13655
252.92,-0.13547
255.45,-0.15768
258.00,-0.18153
260.58,-0.19236
263.19,-0.20212
265.82,-0.21367
268.48,-0.21136
271.16,-0.20314
273.87,-0.21818
276.61,-0.25287
279.38,-0.27767
282.17,-0.29148
284.99,-0.29629
287.84,-0.28901
290.72,-0.27854
293.63,-0.28465
296.57,-0.29594
299.53,-0.29119
302.53,-0.28676
305.55,-0.28062
308.61,-0.27771
311.69,-0.26199
314.81,-0.27419
317.96,-0.26800
321.14,-0.24488
324.35,-0.21450
327.59,-0.18461
330.87,-0.14958
334.18,-0.11543
337.52,-0.09591
340.90,-0.05053
344.30,-0.01715
347.75,0.01033
351.23,0.03676
354.74,0.06540
358.28,0.08740
361.87,0.15374
365.49,0.21093
369.14,0.26414
372.83,0.34071
376.56,0.36327
380.33,0.38415
384.13,0.38731
387.97,0.41859
391.85,0.47986
395.77,0.48426
399.73,0.50391
403.72,0.54077
407.76,0.57433
411.84,0.62521
415.96,0.62903
420.12,0.61780
424.32,0.62475
428.56,0.64186
432.85,0.65258
437.18,0.61798
441.55,0.61520
445.96,0.60740
450.42,0.60639
454.93,0.56270
459.48,0.52386
464.07,0.50340
468.71,0.51548
473.40,0.52086
478.13,0.48682
482.91,0.43976
487.74,0.38220
492.62,0.37022
497.55,0.37285
502.52,0.38327
507.55,0.36113
512.62,0.33174
517.75,0.29905
522.93,0.29986
528.16,0.31944
533.44,0.34543
538.77,0.31077
544.16,0.29513
549.60,0.30759
555.10,0.32840
560.65,0.32448
566.25,0.31046
571.92,0.29920
577.64,0.25652
583.41,0.25788
589.25,0.24994
595.14,0.20003
601.09,0.15979
607.10,0.14112
613.17,0.10565
619.30,0.06599
625.50,0.02664
631.75,-0.01460
638.07,-0.05199
644.45,-0.09218
650.89,-0.10302
657.40,-0.11104
663.98,-0.14498
670.62,-0.15373
677.32,-0.14606
684.10,-0.13476
690.94,-0.09457
697.85,-0.06319
704.83,-0.03457
711.87,0.01599
718.99,0.04292
726.18,0.10721
733.44,0.15698
740.78,0.21490
748.19,0.26695
755.67,0.30303
763.23,0.34283
770.86,0.37529
778.57,0.40064
786.35,0.40203
794.22,0.42326
802.16,0.40638
810.18,0.39589
818.28,0.37734
826.46,0.33568
834.73,0.31859
843.08,0.26101
851.51,0.23040
860.02,0.16858
868.62,0.12880
877.31,0.08498
886.08,0.04758
894.94,0.00704
903.89,-0.01654
912.93,-0.05487
922.06,-0.05358
931.28,-0.06821
940.59,-0.06456
950.00,-0.06603
959.50,-0.05485
969.09,-0.05275
978.78,-0.02999
988.57,-0.01007
998.46,-0.00974
1008.44,0.05339
1018.53,0.05902
1028.71,0.12214
1039.00,0.15037
1049.39,0.18821
1059.88,0.28026
1070.48,0.33096
1081.19,0.38874
1092.00,0.46366
1102.92,0.54875
1113.95,0.58514
1125.09,0.65655
1136.34,0.70498
1147.70,0.77990
1159.18,0.82638
1170.77,0.87363
1182.48,0.91910
1194.30,0.95024
1206.25,1.01649
1218.31,1.04334
1230.49,1.09268
1242.80,1.13742
1255.22,1.18864
1267.78,1.25485
1280.45,1.32300
1293.26,1.39592
1306.19,1.45686
1319.25,1.49798
1332.45,1.55182
1345.77,1.61280
1359.23,1.65748
1372.82,1.69721
1386.55,1.75286
1400.41,1.78908
1414.42,1.84265
1428.56,1.89964
1442.85,1.94941
1457.28,2.01842
1471.85,2.06308
1486.57,2.13651
1501.43,2.20428
1516.45,2.26065
1531.61,2.32665
1546.93,2.37185
1562.40,2.41882
1578.02,2.43698
1593.80,2.45786
1609.74,2.49759
1625.84,2.50953
1642.10,2.54588
1658.52,2.55883
1675.10,2.56572
1691.85,2.56617
1708.77,2.59175
1725.86,2.62189
1743.12,2.63771
1760.55,2.67782
1778.15,2.71010
1795.94,2.73877
1813.90,2.80433
1832.03,2.85055
1850.36,2.90616
1868.86,2.96790
1887.55,3.01971
1906.42,3.06973
1925.49,3.11465
1944.74,3.15812
1964.19,3.20293
1983.83,3.24158
2003.67,3.27519
2023.71,3.29640
2043.94,3.31391
2064.38,3.33359
2085.03,3.34739
2105.88,3.37409
2126.94,3.39343
2148.20,3.41916
2169.69,3.44418
2191.38,3.46529
2213.30,3.51065
2235.43,3.54252
2257.78,3.56781
2280.36,3.61504
2303.17,3.66184
2326.20,3.71875
2349.46,3.79737
2372.95,3.85238
2396.68,3.90963
2420.65,3.98170
2444.86,4.05615
2469.31,4.13882
2494.00,4.25659
2518.94,4.35368
2544.13,4.44366
2569.57,4.55444
2595.27,4.67450
2621.22,4.81291
2647.43,4.93158
2673.90,5.05337
2700.64,5.17529
2727.65,5.31281
2754.93,5.44473
2782.48,5.57462
2810.30,5.72407
2838.40,5.82421
2866.79,5.95427
2895.46,6.07834
2924.41,6.18819
2953.65,6.29795
2983.19,6.40689
3013.02,6.50348
3043.15,6.58918
3073.58,6.66726
3104.32,6.75026
3135.36,6.83490
3166.72,6.88893
3198.38,6.93549
3230.37,6.97844
3262.67,7.01324
3295.30,7.06526
3328.25,7.10248
3361.53,7.11907
3395.15,7.12374
3429.10,7.13032
3463.39,7.11756
3498.03,7.10223
3533.01,7.09728
3568.34,7.05929
