frequency,raw
20.00,-3.90281
20.20,-3.88565
20.40,-3.86831
20.61,-3.85020
20.81,-3.83304
21.02,-3.81545
21.23,-3.79805
21.44,-3.78158
21.66,-3.76471
21.87,-3.74958
22.09,-3.73457
22.31,-3.72030
22.54,-3.70694
22.76,-3.69481
22.99,-3.68350
23.22,-3.67332
23.45,-3.66385
23.69,-3.65554
23.92,-3.64825
24.16,-3.64134
24.40,-3.63547
24.65,-3.62975
24.89,-3.62464
25.14,-3.61965
25.39,-3.61464
25.65,-3.60937
25.91,-3.60366
26.16,-3.59767
26.43,-3.59061
26.69,-3.58295
26.96,-3.57382
27.23,-3.56372
27.50,-3.55261
27.77,-3.54010
28.05,-3.52586
28.33,-3.51056
28.62,-3.49364
28.90,-3.47627
29.19,-3.45738
29.48,-3.43797
29.78,-3.41754
30.08,-3.39700
30.38,-3.37663
30.68,-3.35687
30.99,-3.33731
31.30,-3.31889
31.61,-3.30184
31.93,-3.28591
32.24,-3.27223
32.57,-3.25999
32.89,-3.25035
33.22,-3.24253
33.55,-3.23680
33.89,-3.23290
34.23,-3.23083
34.57,-3.23030
34.92,-3.23103
35.27,-3.23267
35.62,-3.23486
35.97,-3.23723
36.33,-3.23952
36.70,-3.24141
37.06,-3.24256
37.43,-3.24289
37.81,-3.24226
38.19,-3.24071
38.57,-3.23837
38.95,-3.23549
39.34,-3.23228
39.74,-3.22914
40.14,-3.22658
40.54,-3.22508
40.94,-3.22505
41.35,-3.22691
41.76,-3.23106
42.18,-3.23803
42.60,-3.24759
43.03,-3.25994
43.46,-3.27462
43.90,-3.29164
44.33,-3.30977
44.78,-3.32969
45.23,-3.34975
45.68,-3.36934
46.13,-3.38787
46.60,-3.40532
47.06,-3.42033
47.53,-3.43345
48.01,-3.44444
48.49,-3.45312
48.97,-3.46021
49.46,-3.46637
49.96,-3.47230
50.46,-3.47875
50.96,-3.48661
51.47,-3.49690
51.99,-3.50999
52.51,-3.52656
53.03,-3.54603
53.56,-3.56881
54.10,-3.59427
54.64,-3.62101
55.18,-3.64797
55.74,-3.67493
56.29,-3.69926
56.86,-3.72133
57.42,-3.73927
58.00,-3.75357
58.58,-3.76398
59.16,-3.77061
59.76,-3.77498
60.35,-3.77780
60.96,-3.78068
61.57,-3.78476
62.18,-3.79125
62.80,-3.80093
63.43,-3.81395
64.07,-3.83013
64.71,-3.84830
65.35,-3.86690
66.01,-3.88490
66.67,-3.90005
67.33,-3.91071
68.01,-3.91605
68.69,-3.91534
69.37,-3.90882
70.07,-3.89689
70.77,-3.88104
71.48,-3.86259
72.19,-3.84334
72.91,-3.82432
73.64,-3.80628
74.38,-3.78930
75.12,-3.77293
75.87,-3.75567
76.63,-3.73594
77.40,-3.71213
78.17,-3.68338
78.95,-3.64881
79.74,-3.60855
80.54,-3.56348
81.35,-3.51500
82.16,-3.46549
82.98,-3.41576
83.81,-3.36665
84.65,-3.31824
85.50,-3.26976
86.35,-3.22054
87.22,-3.16809
88.09,-3.11275
88.97,-3.05407
89.86,-2.99303
90.76,-2.93162
91.66,-2.87281
92.58,-2.81706
93.51,-2.76589
94.44,-2.71884
95.39,-2.67264
96.34,-2.62517
97.30,-2.57290
98.28,-2.51370
99.26,-2.44924
100.25,-2.38140
101.25,-2.31448
102.27,-2.25205
103.29,-2.19810
104.32,-2.15210
105.37,-2.11029
106.42,-2.06803
107.48,-2.01934
108.56,-1.95995
109.64,-1.89082
110.74,-1.81454
111.85,-1.73838
112.97,-1.66931
114.10,-1.61161
115.24,-1.56497
116.39,-1.52456
117.55,-1.48328
118.73,-1.43429
119.92,-1.37557
121.12,-1.30953
122.33,-1.24203
123.55,-1.17965
124.79,-1.12543
126.03,-1.07934
127.29,-1.03595
128.57,-0.98982
129.85,-0.93862
131.15,-0.88265
132.46,-0.82601
133.79,-0.77184
135.12,-0.72157
136.48,-0.67160
137.84,-0.61995
139.22,-0.56572
140.61,-0.51361
142.02,-0.46994
143.44,-0.43858
144.87,-0.41613
146.32,-0.39305
147.78,-0.36026
149.26,-0.31552
150.75,-0.26727
152.26,-0.22861
153.78,-0.20810
155.32,-0.20088
156.88,-0.19075
158.44,-0.16228
160.03,-0.11165
161.63,-0.06174
163.24,-0.01220
164.88,0.01625
166.53,0.02926
168.19,0.04409
169.87,0.07312
171.57,0.11366
173.29,0.15123
175.02,0.17351
176.77,0.18126
178.54,0.18484
180.32,0.19206
182.13,0.20241
183.95,0.21202
185.79,0.22249
187.65,0.23935
189.52,0.26178
191.42,0.27912
193.33,0.28169
195.27,0.27649
197.22,0.28359
199.19,0.31230
201.18,0.34613
203.19,0.35811
205.23,0.34443
207.28,0.33383
209.35,0.35452
211.44,0.39941
213.56,0.43534
215.69,0.44397
217.85,0.44474
220.03,0.46520
222.23,0.50417
224.45,0.53784
226.70,0.55422
228.96,0.56323
231.25,0.57499
233.57,0.58915
235.90,0.59915
238.26,0.63313
240.64,0.67200
243.05,0.69504
245.48,0.70858
247.93,0.74618
250.41,0.81166
252.92,0.85967
255.45,0.86785
258.00,0.88059
260.58,0.93491
263.19,0.99736
265.82,1.02593
268.48,1.04503
271.16,1.09322
273.87,1.15519
276.61,1.20028
279.38,1.23086
282.17,1.25543
284.99,1.28771
287.84,1.33242
290.72,1.37066
293.63,1.38031
296.57,1.39684
299.53,1.45796
302.53,1.51028
305.55,1.51946
308.61,1.52429
311.69,1.58343
314.81,1.61030
317.96,1.61183
321.14,1.62808
324.35,1.67165
327.59,1.69738
330.87,1.69776
334.18,1.69757
337.52,1.69841
340.90,1.71321
344.30,1.68947
347.75,1.68188
351.23,1.71308
354.74,1.72178
358.28,1.69425
361.87,1.72570
365.49,1.72755
369.14,1.69193
372.83,1.70888
376.56,1.71007
380.33,1.71256
384.13,1.69827
387.97,1.71507
391.85,1.74128
395.77,1.70671
399.73,1.73124
403.72,1.75543
407.76,1.72772
411.84,1.75948
415.96,1.76312
420.12,1.73267
424.32,1.73576
428.56,1.73505
432.85,1.72258
437.18,1.70904
441.55,1.71674
445.96,1.67242
450.42,1.68298
454.93,1.66413
459.48,1.64032
464.07,1.64597
468.71,1.62083
473.40,1.60660
478.13,1.58845
482.91,1.55323
487.74,1.52638
492.62,1.50758
497.55,1.45658
502.52,1.45453
507.55,1.42520
512.62,1.43667
517.75,1.42888
522.93,1.41739
528.16,1.39681
533.44,1.35368
538.77,1.31362
544.16,1.29214
549.60,1.26470
555.10,1.25258
560.65,1.22322
566.25,1.20655
571.92,1.18041
577.64,1.14552
583.41,1.11180
589.25,1.09268
595.14,1.07574
601.09,1.07679
607.10,1.06019
613.17,1.03980
619.30,1.01387
625.50,0.99481
631.75,0.97089
638.07,0.94438
644.45,0.92061
650.89,0.90356
657.40,0.88768
663.98,0.87182
670.62,0.85156
677.32,0.84765
684.10,0.84249
690.94,0.82820
697.85,0.78870
704.83,0.78615
711.87,0.79435
718.99,0.79655
726.18,0.81711
733.44,0.84720
740.78,0.85789
748.19,0.86811
755.67,0.89434
763.23,0.92543
770.86,0.96067
778.57,0.98757
786.35,1.01042
794.22,1.04908
802.16,1.05303
810.18,1.05799
818.28,1.05332
826.46,1.03046
834.73,1.02243
843.08,0.98613
851.51,0.94403
860.02,0.88531
868.62,0.83342
877.31,0.77305
886.08,0.70570
894.94,0.63005
903.89,0.54730
912.93,0.47266
922.06,0.40522
931.28,0.34179
940.59,0.27397
950.00,0.21412
959.50,0.15449
969.09,0.09190
978.78,0.05356
988.57,0.03132
998.46,0.00161
1008.44,-0.00885
1018.53,-0.03158
1028.71,-0.02662
1039.00,-0.02691
1049.39,-0.01952
1059.88,0.00417
1070.48,0.02670
1081.19,0.03534
1092.00,0.05466
1102.92,0.08427
1113.95,0.10476
1125.09,0.13367
1136.34,0.14022
1147.70,0.17516
1159.18,0.20737
1170.77,0.23727
1182.48,0.27180
1194.30,0.31324
1206.25,0.37330
1218.31,0.41032
1230.49,0.45152
1242.80,0.48202
1255.22,0.51637
1267.78,0.56082
1280.45,0.60938
1293.26,0.65897
1306.19,0.71103
1319.25,0.78931
1332.45,0.85460
1345.77,0.90918
1359.23,0.97887
1372.82,1.05705
1386.55,1.12904
1400.41,1.19730
1414.42,1.27367
1428.56,1.34876
1442.85,1.43542
1457.28,1.52300
1471.85,1.61621
1486.57,1.71730
1501.43,1.82609
1516.45,1.91903
1531.61,2.01235
1546.93,2.08830
1562.40,2.15533
1578.02,2.19294
1593.80,2.22029
1609.74,2.26402
1625.84,2.28836
1642.10,2.31904
1658.52,2.31699
1675.10,2.32489
1691.85,2.31403
1708.77,2.31681
1725.86,2.32080
1743.12,2.30914
1760.55,2.32136
1778.15,2.31228
1795.94,2.31954
1813.90,2.35217
1832.03,2.36008
1850.36,2.40345
1868.86,2.44567
1887.55,2.49063
1906.42,2.53603
1925.49,2.57685
1944.74,2.61776
1964.19,2.67396
1983.83,2.72576
2003.67,2.77035
2023.71,2.82042
2043.94,2.86282
2064.38,2.90125
2085.03,2.94896
2105.88,3.01053
2126.94,3.07423
2148.20,3.14182
2169.69,3.20374
2191.38,3.26980
2213.30,3.34768
2235.43,3.42359
2257.78,3.48897
2280.36,3.57588
2303.17,3.65188
2326.20,3.74777
2349.46,3.86538
2372.95,3.95388
2396.68,4.04502
2420.65,4.14990
2444.86,4.26367
2469.31,4.38229
2494.00,4.51486
2518.94,4.63133
2544.13,4.74568
2569.57,4.88032
2595.27,5.00655
2621.22,5.15336
2647.43,5.27986
2673.90,5.40381
2700.64,5.52688
2727.65,5.66232
2754.93,5.79043
