frequency,raw
20.00,-2.10850
20.20,-2.09614
20.40,-2.08360
20.61,-2.07055
20.81,-2.05822
21.02,-2.04575
21.23,-2.03348
21.44,-2.02222
21.66,-2.01082
21.87,-2.00099
22.09,-1.99157
22.31,-1.98292
22.54,-1.97552
22.76,-1.96913
22.99,-1.96387
23.22,-1.95978
23.45,-1.95644
23.69,-1.95459
23.92,-1.95353
24.16,-1.95316
24.40,-1.95392
24.65,-1.95516
24.89,-1.95680
25.14,-1.95898
25.39,-1.96127
25.65,-1.96371
25.91,-1.96598
26.16,-1.96788
26.43,-1.96959
26.69,-1.97072
26.96,-1.97120
27.23,-1.97111
27.50,-1.97045
27.77,-1.96906
28.05,-1.96703
28.33,-1.96460
28.62,-1.96174
28.90,-1.95878
29.19,-1.95581
29.48,-1.95314
29.78,-1.95092
30.08,-1.94946
30.38,-1.94908
30.68,-1.95027
30.99,-1.95307
31.30,-1.95764
31.61,-1.96410
31.93,-1.97284
32.24,-1.98329
32.57,-1.99676
32.89,-2.01188
33.22,-2.02918
33.55,-2.04796
33.89,-2.06851
34.23,-2.08985
34.57,-2.11155
34.92,-2.13378
35.27,-2.15542
35.62,-2.17600
35.97,-2.19512
36.33,-2.21288
36.70,-2.22880
37.06,-2.24187
37.43,-2.25267
37.81,-2.26101
38.19,-2.26672
38.57,-2.27006
38.95,-2.27138
39.34,-2.27108
39.74,-2.26960
40.14,-2.26755
40.54,-2.26552
40.94,-2.26413
41.35,-2.26390
41.76,-2.26545
42.18,-2.26939
42.60,-2.27580
43.03,-2.28500
43.46,-2.29680
43.90,-2.31132
44.33,-2.32767
44.78,-2.34663
45.23,-2.36675
45.68,-2.38751
46.13,-2.40843
46.60,-2.42993
47.06,-2.45032
47.53,-2.47035
48.01,-2.48990
48.49,-2.50868
48.97,-2.52709
49.46,-2.54593
49.96,-2.56583
50.46,-2.58687
50.96,-2.60966
51.47,-2.63517
51.99,-2.66345
52.51,-2.69444
53.03,-2.72742
53.56,-2.76269
54.10,-2.79949
54.64,-2.83614
55.18,-2.87160
55.74,-2.90610
56.29,-2.93673
56.86,-2.96448
57.42,-2.98743
58.00,-3.00660
58.58,-3.02181
59.16,-3.03339
59.76,-3.04314
60.35,-3.05159
60.96,-3.06064
61.57,-3.07115
62.18,-3.08425
62.80,-3.10073
63.43,-3.12069
64.07,-3.14393
64.71,-3.16929
65.35,-3.19538
66.01,-3.22170
66.67,-3.24612
67.33,-3.26739
68.01,-3.28542
68.69,-3.29938
69.37,-3.30964
70.07,-3.31710
70.77,-3.32250
71.48,-3.32699
72.19,-3.33142
72.91,-3.33639
73.64,-3.34188
74.38,-3.34730
75.12,-3.35146
75.87,-3.35303
76.63,-3.35055
77.40,-3.34289
78.17,-3.32966
78.95,-3.31096
79.74,-3.28769
80.54,-3.26136
81.35,-3.23383
82.16,-3.20725
82.98,-3.18243
83.81,-3.15974
84.65,-3.13865
85.50,-3.11771
86.35,-3.09539
87.22,-3.06939
88.09,-3.03918
88.97,-3.00459
89.86,-2.96649
90.76,-2.92703
91.66,-2.88903
92.58,-2.85371
93.51,-2.82275
94.44,-2.79612
95.39,-2.77186
96.34,-2.74816
97.30,-2.72256
98.28,-2.69352
99.26,-2.66181
100.25,-2.62874
101.25,-2.59695
102.27,-2.56853
103.29,-2.54518
104.32,-2.52581
105.37,-2.50721
106.42,-2.48569
107.48,-2.45743
108.56,-2.42019
109.64,-2.37555
110.74,-2.32632
111.85,-2.27811
112.97,-2.23572
114.10,-2.20160
115.24,-2.17482
116.39,-2.15160
117.55,-2.12715
118.73,-2.09744
119.92,-2.06194
121.12,-2.02279
122.33,-1.98363
123.55,-1.94748
124.79,-1.91432
126.03,-1.88221
127.29,-1.84676
128.57,-1.80553
129.85,-1.76003
131.15,-1.71411
132.46,-1.67396
133.79,-1.64293
135.12,-1.62046
136.48,-1.60082
137.84,-1.57781
139.22,-1.54720
140.61,-1.50974
142.02,-1.46926
143.44,-1.42981
144.87,-1.39131
146.32,-1.34935
147.78,-1.29965
149.26,-1.24170
150.75,-1.18234
152.26,-1.13121
153.78,-1.09525
155.32,-1.07200
156.88,-1.05118
158.44,-1.02269
160.03,-0.98342
161.63,-0.95100
163.24,-0.91636
164.88,-0.89414
166.53,-0.87935
168.19,-0.86155
169.87,-0.83503
171.57,-0.80367
173.29,-0.77613
175.02,-0.75612
176.77,-0.73781
178.54,-0.71267
180.32,-0.67972
182.13,-0.64687
183.95,-0.62337
185.79,-0.60822
187.65,-0.59195
189.52,-0.56839
191.42,-0.54227
193.33,-0.52360
195.27,-0.51330
197.22,-0.50131
199.19,-0.48053
201.18,-0.45894
203.19,-0.45145
205.23,-0.45856
207.28,-0.46021
209.35,-0.43692
211.44,-0.39270
213.56,-0.34851
215.69,-0.31711
217.85,-0.28956
220.03,-0.25530
222.23,-0.22045
224.45,-0.19666
226.70,-0.17911
228.96,-0.15253
231.25,-0.11617
233.57,-0.08603
235.90,-0.07899
238.26,-0.06391
240.64,-0.04642
243.05,-0.03718
245.48,-0.03500
247.93,-0.01817
250.41,0.01956
252.92,0.05071
255.45,0.05799
258.00,0.06472
260.58,0.09092
263.19,0.11582
265.82,0.11801
268.48,0.11405
271.16,0.12009
273.87,0.12280
276.61,0.11798
279.38,0.12350
282.17,0.13665
284.99,0.14949
287.84,0.16029
290.72,0.16919
293.63,0.17120
296.57,0.18383
299.53,0.22304
302.53,0.25379
305.55,0.26058
308.61,0.25731
311.69,0.29402
314.81,0.32281
317.96,0.35933
321.14,0.40249
324.35,0.45099
327.59,0.48871
330.87,0.52758
334.18,0.57638
337.52,0.61350
340.90,0.66540
344.30,0.69344
347.75,0.72017
351.23,0.76667
354.74,0.81451
358.28,0.83427
361.87,0.90089
365.49,0.96430
369.14,1.01095
372.83,1.08426
376.56,1.12190
380.33,1.17660
384.13,1.22312
387.97,1.27730
391.85,1.33725
395.77,1.34490
399.73,1.39337
403.72,1.44989
407.76,1.45738
411.84,1.49288
415.96,1.51723
420.12,1.53356
424.32,1.56276
428.56,1.57079
432.85,1.56716
437.18,1.54118
441.55,1.53090
445.96,1.48640
450.42,1.48540
454.93,1.46332
459.48,1.42119
464.07,1.39003
468.71,1.35964
473.40,1.34118
478.13,1.31016
482.91,1.28187
487.74,1.26345
492.62,1.24911
497.55,1.20095
502.52,1.20148
507.55,1.19655
512.62,1.20529
517.75,1.19539
522.93,1.18662
528.16,1.17059
533.44,1.15547
538.77,1.15277
544.16,1.17058
549.60,1.17248
555.10,1.19697
560.65,1.18922
566.25,1.18690
571.92,1.19523
577.64,1.19340
583.41,1.17506
589.25,1.16213
595.14,1.13835
601.09,1.11482
607.10,1.08417
613.17,1.03920
619.30,0.99071
625.50,0.96055
631.75,0.93237
638.07,0.91014
644.45,0.87828
650.89,0.83014
657.40,0.81278
663.98,0.81005
670.62,0.79961
677.32,0.81090
684.10,0.81740
690.94,0.85419
697.85,0.87392
704.83,0.92436
711.87,0.96417
718.99,1.00445
726.18,1.07288
733.44,1.14490
740.78,1.20970
748.19,1.27050
755.67,1.34238
763.23,1.40213
770.86,1.45656
778.57,1.50331
786.35,1.50403
794.22,1.53621
802.16,1.53500
810.18,1.53554
818.28,1.51755
826.46,1.46025
834.73,1.42014
843.08,1.35563
851.51,1.27133
860.02,1.18291
868.62,1.13150
877.31,1.06165
886.08,0.98107
894.94,0.90855
903.89,0.83217
912.93,0.75696
922.06,0.67963
931.28,0.60787
940.59,0.50012
950.00,0.39130
959.50,0.30392
969.09,0.22984
978.78,0.14468
988.57,0.07100
998.46,0.00623
1008.44,-0.03412
1018.53,-0.07195
1028.71,-0.10526
1039.00,-0.15790
1049.39,-0.18693
1059.88,-0.18924
1070.48,-0.19014
1081.19,-0.19973
1092.00,-0.19091
1102.92,-0.17012
1113.95,-0.17014
1125.09,-0.15095
1136.34,-0.14381
1147.70,-0.11417
1159.18,-0.10304
1170.77,-0.09004
1182.48,-0.05350
1194.30,-0.02618
1206.25,0.03654
1218.31,0.08394
1230.49,0.13962
1242.80,0.21693
1255.22,0.30071
1267.78,0.40135
1280.45,0.49941
1293.26,0.61215
1306.19,0.72033
1319.25,0.83768
1332.45,0.93807
1345.77,1.03631
1359.23,1.14612
1372.82,1.24810
1386.55,1.34362
1400.41,1.43838
1414.42,1.53650
1428.56,1.63905
1442.85,1.74655
1457.28,1.86620
1471.85,1.98562
1486.57,2.11440
1501.43,2.23422
1516.45,2.34678
1531.61,2.45043
1546.93,2.54740
1562.40,2.63096
1578.02,2.68918
1593.80,2.74043
1609.74,2.81010
1625.84,2.85381
1642.10,2.91820
1658.52,2.96540
1675.10,3.00357
1691.85,3.02919
1708.77,3.05989
1725.86,3.10756
1743.12,3.12222
1760.55,3.16032
1778.15,3.18644
1795.94,3.20898
1813.90,3.27652
1832.03,3.33426
1850.36,3.42044
1868.86,3.49570
1887.55,3.56839
1906.42,3.65696
1925.49,3.72169
1944.74,3.78492
1964.19,3.84951
1983.83,3.91146
2003.67,3.96154
2023.71,4.01266
2043.94,4.04888
2064.38,4.08957
2085.03,4.13443
2105.88,4.19059
2126.94,4.22800
2148.20,4.26676
2169.69,4.30826
2191.38,4.33948
2213.30,4.37770
2235.43,4.40880
2257.78,4.42866
2280.36,4.47636
2303.17,4.51843
2326.20,4.57910
2349.46,4.66072
2372.95,4.72592
2396.68,4.80060
2420.65,4.89752
2444.86,4.99852
2469.31,5.11342
2494.00,5.25117
2518.94,5.36180
2544.13,5.46454
2569.57,5.58726
2595.27,5.69985
2621.22,5.82148
2647.43,5.91779
2673.90,6.00304
2700.64,6.08675
2727.65,6.18445
2754.93,6.27929
2782.48,6.36598
2810.30,6.45555
2838.40,6.51017
2866.79,6.57066
2895.46,6.63541
2924.41,6.68467
2953.65,6.72480
2983.19,6.76267
3013.02,6.79254
3043.15,6.79622
3073.58,6.80300
3104.32,6.81455
3135.36,6.81376
3166.72,6.80007
3198.38,6.75261
3230.37,6.71785
3262.67,6.67233
3295.30,6.64535
3328.25,6.60354
3361.53,6.53594
3395.15,6.46801
3429.10,6.38759
3463.39,6.30442
3498.03,6.22319
3533.01,6.13952
3568.34,6.04979
3604.02,5.94801
3640.06,5.85175
3676.46,5.74997
3713.22,5.65301
3750.36,5.56309
3787.86,5.45613
3825.74,5.35735
3864.00,5.25936
3902.64,5.16481
3941.66,5.07912
3981.08,5.02233
4020.89,4.94212
4061.10,4.87011
4101.71,4.78730
4142.73,4.73356
4184.15,4.65684
4226.00,4.59445
4268.26,4.52536
4310.94,4.45663
4354.05,4.38209
4397.59,4.31355
4441.56,4.24044
4485.98,4.17249
4530.84,4.09206
4576.15,4.03467
4621.91,3.94979
4668.13,3.87313
4714.81,3.78866
4761.96,3.70083
4809.58,3.63956
4857.67,3.54786
4906.25,3.47861
4955.31,3.39753
5004.87,3.32673
5054.91,3.28353
5105.46,3.22655
5156.52,3.19585
5208.08,3.16021
5260.16,3.13103
5312.77,3.12013
5365.89,3.08867
5419.55,3.08800
5473.75,3.12299
5528.49,3.16370
5583.77,3.23401
5639.61,3.32233
5696.00,3.45497
5752.96,3.62725
5810.49,3.86213
5868.60,4.16916
5927.28,4.53566
5986.56,4.95751
6046.42,5.41020
6106.89,5.86706
6167.96,6.35941
6229.64,6.80949
6291.93,7.18702
6354.85,7.44987
6418.40,7.58731
6482.58,7.57920
6547.41,7.44360
6612.88,7.19918
6679.01,6.85188
6745.80,6.42908
6813.26,5.96143
6881.39,5.49778
6950.21,5.05362
7019.71,4.63479
7089.91,4.27342
7160.81,3.93225
7232.41,3.61787
7304.74,3.33534
7377.79,3.07360
7451.56,2.81758
7526.08,2.58038
7601.34,2.34884
7677.35,2.12850
7754.13,1.90758
7831.67,1.68559
7909.98,1.46153
7989.08,1.24593
8068.98,1.01392
8149.67,0.77262
8231.16,0.53949
8313.47,0.31296
8396.61,0.08426
8480.57,-0.13636
8565.38,-0.36771
8651.03,-0.59632
8737.54,-0.82571
8824.92,-1.04721
8913.17,-1.28116
9002.30,-1.49932
9092.32,-1.73194
9183.25,-1.97266
9275.08,-2.22054
9367.83,-2.46735
9461.51,-2.70815
9556.12,-2.96375
9651.68,-3.22145
9748.20,-3.47229
9845.68,-3.70753
9944.14,-3.92523
10043.58,-4.13831
10144.02,-4.31343
10245.46,-4.47704
10347.91,-4.61833
10451.39,-4.75308
10555.91,-4.88238
10661.46,-5.00177
10768.08,-5.12956
10875.76,-5.25473
10984.52,-5.37279
11094.36,-5.49397
11205.31,-5.61400
11317.36,-5.73832
11430.53,-5.85663
11544.84,-5.97901
11660.29,-6.09132
11776.89,-6.20194
11894.66,-6.27997
12013.60,-6.35954
12133.74,-6.43241
12255.08,-6.50222
12377.63,-6.56619
12501.41,-6.62915
12626.42,-6.69407
12752.68,-6.74406
12880.21,-6.80477
13009.01,-6.85740
13139.10,-6.90850
13270.49,-6.94671
13403.20,-6.96959
13537.23,-7.00449
13672.60,-7.02858
13809.33,-7.04217
13947.42,-7.05026
14086.90,-7.06426
14227.77,-7.05681
14370.04,-7.04892
14513.74,-7.04428
14658.88,-7.02375
14805.47,-7.01185
14953.52,-6.98360
15103.06,-6.99574
15254.09,-7.02385
15406.63,-7.04944
15560.70,-7.06933
15716.30,-7.08250
15873.47,-7.09969
16032.20,-7.11652
16192.52,-7.22581
16354.45,-7.30802
16517.99,-7.39742
16683.17,-7.48929
16850.01,-7.55396
17018.51,-7.65406
17188.69,-7.83959
17360.58,-8.01664
17534.18,-8.20645
17709.53,-8.38349
17886.62,-8.55143
18065.49,-8.77567
18246.14,-9.03473
18428.60,-9.33858
18612.89,-9.60920
18799.02,-9.88644
18987.01,-10.15312
19176.88,-10.49647
19368.65,-10.85780
19562.33,-11.21530
19757.96,-11.53428
19955.54,-11.89001
