frequency,raw
20.00,-2.06265
20.20,-1.99016
20.40,-1.91534
20.61,-1.84677
20.81,-1.76899
21.02,-1.68694
21.23,-1.62407
21.44,-1.55901
21.66,-1.49073
21.87,-1.43366
22.09,-1.36305
22.31,-1.30171
22.54,-1.23651
22.76,-1.17379
22.99,-1.11758
23.22,-1.05101
23.45,-0.98424
23.69,-0.91425
23.92,-0.84712
24.16,-0.76702
24.40,-0.69687
24.65,-0.63381
24.89,-0.56368
25.14,-0.49058
25.39,-0.41742
25.65,-0.34124
25.91,-0.27477
26.16,-0.20094
26.43,-0.12086
26.69,-0.04319
26.96,0.03826
27.23,0.12040
27.50,0.20330
27.77,0.27732
28.05,0.36557
28.33,0.44482
28.62,0.53832
28.90,0.62972
29.19,0.71554
29.48,0.82213
29.78,0.91272
30.08,1.01376
30.38,1.10501
30.68,1.20601
30.99,1.29969
31.30,1.40230
31.61,1.50342
31.93,1.59579
32.24,1.68265
32.57,1.78240
32.89,1.87552
33.22,1.95780
33.55,2.04604
33.89,2.12264
34.23,2.20488
34.57,2.27292
34.92,2.33913
35.27,2.41159
35.62,2.47084
35.97,2.52746
36.33,2.59391
36.70,2.65077
37.06,2.70513
37.43,2.77121
37.81,2.82960
38.19,2.88896
38.57,2.95960
38.95,3.02160
39.34,3.08684
39.74,3.15512
40.14,3.23402
40.54,3.30287
40.94,3.38089
41.35,3.44911
41.76,3.52452
42.18,3.59767
42.60,3.65610
43.03,3.72065
43.46,3.76930
43.90,3.80315
44.33,3.83976
44.78,3.87254
45.23,3.90077
45.68,3.92555
46.13,3.94809
46.60,3.98110
47.06,4.00388
47.53,4.02891
48.01,4.06722
48.49,4.08883
48.97,4.11332
49.46,4.14137
49.96,4.17241
50.46,4.22377
50.96,4.26382
51.47,4.29148
51.99,4.32520
52.51,4.36115
53.03,4.37937
53.56,4.38883
54.10,4.38947
54.64,4.38187
55.18,4.36742
55.74,4.34814
56.29,4.33663
56.86,4.31489
57.42,4.29560
58.00,4.29022
58.58,4.28964
59.16,4.29473
59.76,4.30436
60.35,4.30713
60.96,4.32151
61.57,4.31487
62.18,4.31500
62.80,4.32040
63.43,4.31034
64.07,4.30477
64.71,4.29504
65.35,4.28388
66.01,4.27380
66.67,4.26827
67.33,4.27042
68.01,4.28235
68.69,4.30455
69.37,4.33600
70.07,4.37550
70.77,4.42834
71.48,4.47044
72.19,4.50636
72.91,4.53236
73.64,4.54541
74.38,4.55451
75.12,4.54118
75.87,4.52843
76.63,4.51028
77.40,4.49070
78.17,4.46298
78.95,4.45782
79.74,4.44425
80.54,4.42951
81.35,4.40951
82.16,4.38094
82.98,4.35136
83.81,4.29102
84.65,4.23285
85.50,4.18268
86.35,4.12812
87.22,4.08447
88.09,4.05796
88.97,4.05902
89.86,4.06698
90.76,4.07615
91.66,4.10984
92.58,4.12138
93.51,4.14542
94.44,4.15071
95.39,4.14931
96.34,4.13670
97.30,4.13857
98.28,4.14864
99.26,4.16685
100.25,4.18884
101.25,4.20659
102.27,4.21178
103.29,4.18894
104.32,4.16780
105.37,4.12457
106.42,4.08097
107.48,4.04741
108.56,4.02109
109.64,4.02384
110.74,4.04046
111.85,4.06190
112.97,4.05909
114.10,4.06740
115.24,4.05870
116.39,4.04988
117.55,4.04853
118.73,4.05838
119.92,4.08536
121.12,4.09934
122.33,4.09900
123.55,4.08788
124.79,4.05000
126.03,4.00816
127.29,3.97652
128.57,3.95417
129.85,3.96015
131.15,3.97316
132.46,3.97958
133.79,3.98222
135.12,3.95567
136.48,3.95282
137.84,3.95619
139.22,3.96766
140.61,3.99616
142.02,4.03369
143.44,4.02811
144.87,4.00267
146.32,3.97280
147.78,3.96401
149.26,3.95822
150.75,3.94141
152.26,3.91420
153.78,3.85938
155.32,3.77950
156.88,3.71907
158.44,3.67492
160.03,3.65299
161.63,3.63514
163.24,3.60581
164.88,3.57698
166.53,3.54552
168.19,3.53283
169.87,3.53091
171.57,3.51894
173.29,3.48712
175.02,3.45196
176.77,3.43332
178.54,3.45316
180.32,3.49889
182.13,3.52123
183.95,3.49001
185.79,3.44266
187.65,3.38773
189.52,3.35051
191.42,3.30356
193.33,3.24212
195.27,3.19132
197.22,3.17750
199.19,3.17301
201.18,3.15206
203.19,3.06452
205.23,2.93885
207.28,2.87154
209.35,2.83824
211.44,2.81398
213.56,2.77749
215.69,2.71823
217.85,2.64620
220.03,2.54746
222.23,2.38550
224.45,2.20718
226.70,2.05284
228.96,1.94966
231.25,1.83993
233.57,1.65270
235.90,1.44429
238.26,1.28846
240.64,1.20870
243.05,1.16263
245.48,1.13745
247.93,1.12702
250.41,1.07752
252.92,0.98984
255.45,0.90031
258.00,0.86230
260.58,0.84715
263.19,0.77827
265.82,0.62734
268.48,0.45559
271.16,0.26715
273.87,0.08022
276.61,-0.03665
279.38,-0.14687
282.17,-0.34072
284.99,-0.57602
287.84,-0.75777
290.72,-0.87871
293.63,-1.04579
296.57,-1.22283
299.53,-1.39167
302.53,-1.57654
305.55,-1.73397
308.61,-1.84851
311.69,-1.95799
314.81,-2.14447
317.96,-2.36663
321.14,-2.53855
324.35,-2.69804
327.59,-2.86654
330.87,-3.05597
334.18,-3.22038
337.52,-3.33726
340.90,-3.45646
344.30,-3.60508
347.75,-3.69813
351.23,-3.80802
354.74,-3.98398
358.28,-4.05865
361.87,-4.05236
365.49,-4.15202
369.14,-4.25190
372.83,-4.25895
376.56,-4.31751
380.33,-4.41475
384.13,-4.50049
387.97,-4.53708
391.85,-4.61463
395.77,-4.72399
399.73,-4.78717
403.72,-4.88168
407.76,-5.00965
411.84,-5.05259
415.96,-5.11760
420.12,-5.21338
424.32,-5.28557
428.56,-5.33136
432.85,-5.38844
437.18,-5.45247
441.55,-5.44487
445.96,-5.43359
450.42,-5.41561
454.93,-5.39365
459.48,-5.38261
464.07,-5.35729
468.71,-5.32460
473.40,-5.26500
478.13,-5.19467
482.91,-5.15428
487.74,-5.13198
492.62,-5.06791
497.55,-5.02626
502.52,-4.97811
507.55,-4.94278
512.62,-4.88018
517.75,-4.80479
522.93,-4.73400
528.16,-4.70795
533.44,-4.68814
538.77,-4.65719
544.16,-4.63309
549.60,-4.59597
555.10,-4.56887
560.65,-4.51361
566.25,-4.44927
571.92,-4.40407
577.64,-4.34408
583.41,-4.22637
589.25,-4.14219
595.14,-4.06402
601.09,-3.94856
607.10,-3.83067
613.17,-3.68896
619.30,-3.57071
625.50,-3.42759
631.75,-3.20132
638.07,-3.05349
644.45,-2.86641
650.89,-2.70989
657.40,-2.50036
663.98,-2.30130
670.62,-2.14087
677.32,-1.98303
684.10,-1.83222
690.94,-1.62818
697.85,-1.55467
704.83,-1.41815
711.87,-1.31061
718.99,-1.21622
726.18,-1.11939
733.44,-1.10389
740.78,-0.99966
748.19,-1.00497
755.67,-0.86798
763.23,-0.91506
770.86,-0.86108
778.57,-0.78960
786.35,-0.76628
794.22,-0.71178
802.16,-0.64863
810.18,-0.59042
818.28,-0.55980
826.46,-0.51856
834.73,-0.46053
843.08,-0.40943
851.51,-0.39151
860.02,-0.32106
868.62,-0.28912
877.31,-0.25291
886.08,-0.20160
894.94,-0.20087
903.89,-0.12902
912.93,-0.13977
922.06,-0.10520
931.28,-0.08430
940.59,-0.05743
950.00,-0.02331
959.50,-0.06035
969.09,-0.02251
978.78,-0.02660
988.57,-0.02986
998.46,-0.00574
1008.44,0.03146
1018.53,0.02212
1028.71,0.02230
1039.00,0.06334
1049.39,0.11027
1059.88,0.17380
1070.48,0.25609
1081.19,0.35529
